docnum,content
52,@xanndra2 @JackRog32705019 @AurandDarren @CourtneyHadwin @CalvinKlein @Loreal @LOrealParisUK @LOrealParisUSA @LOrealUSA @JoeHorstChina @ChrisMa47672678 @OliviaBalafika @connelly113 @Paradise12310 @ziaidr @momshells1 @Sam68757060 @MarkLikesMusic @GracelandET @jerrywi09164713 @siennaanmarlana @PaulTracey18 Mark Snookerboyg should be ashamed of himself! I can't remember when I started IGðŸ¤”! I just know it was for Courtz. I clicked on a link I saw on her Twitty page. Those eye's told me to join and follow Courtney!ðŸ˜± I've been biased ever since!!! Gotta love the kid! ðŸ’–ðŸ‡¬ðŸ‡§ðŸŽ¶ðŸŽ¶
41,@LOrealParisUSA Why donâ€™t you make a body lotion?  Loving this #collagen cream. Donâ€™t forget my #kickback ðŸ˜ pic.twitter.com/UOYEugvpdA
42,@LORealParisUSA @influenster so excited to get my rosy on for the Holidays with Age Perfect- Rosy tone! #Ad #sponsored pic.twitter.com/TRWnRwfWhm
179,RT @Notosympathy: @JackRog32705019 @CourtneyHadwin @RollingStones @CalvinKlein @LOrealParisUK @LOrealParisUSA @Sam68757060 @JoeHorstChina @connelly113 @OliviaBalafika @ChrisMa47672678 @AurandDarren @ziaidr @jerrywi09164713 @JPascarella5 @momshells1 @MarkLikesMusic @PaulTracey18 This is gorgeous!!! Animate her eye's to open and I think our hearts would skip a beat! ðŸ˜±ðŸ¤”Or 2! Etc!ðŸ‘Œâ™¥ï¸
44,"@LorealSkin @LorealParisUSA @influenster, received my complimentary AGE PERFECT CELL RENEWAL Rosy Tone Moisturizer from Infuenster today super excited to start to see how this will change my dull aging skin! 4 weeks begin tomorrow!
#lorealskin #ageperfect pic.twitter.com/85gcyPsnIc"
45,"@LorealSkin @LorealParisUSA @influenster, received my complimentary AGE PERFECT CELL RENEWAL Rosy Tone Moisturizer from Infuenster today super excited to start to see how this will change my dull aging skin! 4 weeks begin tomorrow!
#lorealskin #ageperfect pic.twitter.com/8xDKrfP8kl"
580,"RT @AurandDarren: @JackRog32705019 @CourtneyHadwin @CalvinKlein @aclfestival @LOrealParisUK @LOrealParisUSA @JoeHorstChina @techgolf44 @xanndra2 @Paradise12310 @Sam68757060 @OliviaBalafika @GracelandET @VocalOvation @Scott4293 I really like Courtney's cover of this (of course I like every one of her performances lol). Of all of your cover art works, I think the one of half Courtney/half lion face is tough to beatðŸ˜Ž!"
47,"RT @LOrealParisUSA: Kiss dark spots and wrinkles GOODBYE! Our 10% Glycolic Acid Serum is here to save the day â€” and your skin. Validated in partnership with dermatologists, this serum gives you RESULTS! bit.ly/RGAamazon pic.twitter.com/Zrc09wSLOE"
181,@JackRog32705019 @CourtneyHadwin @RollingStones @CalvinKlein @LOrealParisUK @LOrealParisUSA @Sam68757060 @JoeHorstChina @connelly113 @OliviaBalafika @ChrisMa47672678 @AurandDarren @ziaidr @jerrywi09164713 @JPascarella5 @momshells1 @MarkLikesMusic @PaulTracey18 This is gorgeous!!! Animate her eye's to open and I think our hearts would skip a beat! ðŸ˜±ðŸ¤”Or 2! Etc!ðŸ‘Œâ™¥ï¸
49,@vipul2777 @LOrealParisUSA @LOrealParisIn @Loreal Then its fake...pls call Loreal CC no.
50,"#Cosmetics Face Serum Market Raising Demand As A Organic Ingredients In the Beauty Products With Huge Business Opportunities| Download Free Sample Copy : bit.ly/2BZjuOL

Top Manufacturers- @LOrealParisUSA @Loreal @lorealparisfr @Unilever @amwayTrending #HappyHalloween pic.twitter.com/fa532UFEyQ"
51,"#Cosmetics #Face #Serum #Market Rising Demand As A Personal Care Products | Download Free Sample Copy: bit.ly/2BZjuOL

Top Manufacturers- @LOrealParisUSA @Loreal @lorealparisfr @Unilever @amway

#EMKProducts #0riginalNaturalproducts #USA #Trending #HappyHalloween pic.twitter.com/xv9vmC5NIe"
581,"@JackRog32705019 @CourtneyHadwin @CalvinKlein @aclfestival @LOrealParisUK @LOrealParisUSA @JoeHorstChina @techgolf44 @xanndra2 @Paradise12310 @Sam68757060 @OliviaBalafika @GracelandET @VocalOvation @Scott4293 I really like Courtney's cover of this (of course I like every one of her performances lol). Of all of your cover art works, I think the one of half Courtney/half lion face is tough to beatðŸ˜Ž!"
53,"@LOrealParisUSA  Woot Woot!! ðŸŽ‰ðŸŽ‰ðŸ˜Š  

Got my first VoxBox!! 

Thank you @Influenster!! And @LOrealParisUSA for the Age Perfect 24 hour moisturizer! 

Thanks for the complimentary jar to try and to evaluate the results after 30days!! pic.twitter.com/FXqNgQjWW9"
54,RT @zoeamira1: Another great way to hydrate is with water based gels! I really like the @Neutrogena hydro boost gel which will probably be the most expensive thing on this list at $20 but thereâ€™s dupes! Thereâ€™s the @LOrealParisUSA hydra genius water cream for $10 pic.twitter.com/w6vD7eW43t
901,"RT @kailayu: I've been using @LOrealParisUSA Revitalift day cream for the past 14 days and my skin is glowing! #AD No need for expensive anti-aging creams anymore! You can purchase Lâ€™Oreal Paris Revitalift Triple Power day cream @Walmart #RevitaliftChallenge, #LorealParis #WalmartBeauty, #IC pic.twitter.com/ND8EISQw0E"
56,"@Camila_Cabello @LOrealParisUSA now thought of crazy procedure for down syndrome adults /w physiologies wanted corrected: they can't grow, having reached physics-truths related sizes, so subtract biomass so they can grow, & pre/while growing import correct tissues/marrow/blood/genome/* to guide correct regrowth pic.twitter.com/umVw6sr6FF"
57,@Camila_Cabello @LOrealParisUSA How are you? Are you resting and drinking water. Please remember your a beautiful shining soul
58,"Lovely skin, lovely skin @LOrealParisUSA pic.twitter.com/9edadH0X9E"
59,"RT @LmarieAsad: Millennial Shante Elliott went from foster care to doctorate honored now for her work helping foster youth and is among 10 women nationwide selected to @LOrealParisUSA 2019 Women of Worth. 
via @maudlynei 
@CSTbreaking
chicago.suntimes.com/2019/10/20/209â€¦"
60,@akreana_ @MACcosmetics @LOrealParisUSA @Loreal @essence_ZA @RevlonSA @revlon So i would like anyone who can donate/giveaway  the products and camera for me to start to plz help.....any beauty company that is based in cape town to hire me for weekends and after hours during the week......any beauty stores to take me for weekend clients.tnx â¤
61,"@akreana_ @MACcosmetics @LOrealParisUSA @Loreal @essence_ZA @RevlonSA @revlon Hi everyone, am a self-taught passionate make_up artist based in cape town, i wanna make living out of it but it is very hard as i don't have the kit and a phone that takes quality pictures or camera...."
62,"Millennial Shante Elliott went from foster care to doctorate honored now for her work helping foster youth and is among 10 women nationwide selected to @LOrealParisUSA 2019 Women of Worth. 
via @maudlynei 
@CSTbreaking
chicago.suntimes.com/2019/10/20/209â€¦"
63,"At 54, the new face of @LOrealParisUSA, @violadavis continues to redefine both health and beauty.

#LOreal #LOrealParis #ViolaDavis #CelebrityHealth #HealthTips

bit.ly/2W7lu0D"
64,"RT @LamontJRobinson: Congrats Shante Elliott on creating TassellTurn, a startup to help youth in foster care graduate high school & making @LOrealParisUSA's 2019 Women of Worth, an honor that comes with $10,000 to continue her work. We're proud of you! bit.ly/2W8ssT3. #WCW @Suntimes"
65,"Congrats Shante Elliott on creating TassellTurn, a startup to help youth in foster care graduate high school & making @LOrealParisUSA's 2019 Women of Worth, an honor that comes with $10,000 to continue her work. We're proud of you! bit.ly/2W8ssT3. #WCW @Suntimes"
66,"The new face of @LOrealParisUSA, @violadavis is the epitome of health and wellness.

#LOreal #LOrealParis #ViolaDavis #CelebrityHealth #HealthTips

bit.ly/2W7lu0D"
212,@xanndra2 @RollingStones @CalvinKlein @LOrealParisUSA @Scott4293 @connelly113 @OliviaBalafika @ChrisMa47672678 @AurandDarren @JoeHorstChina @mimiandjosy @GracelandET @Paradise12310 @Notosympathy @jerrywi09164713 @JPascarella5 @GregBiggs8 @PaulTracey18 @Sam68757060 @ziaidr I'll send you the pic without the fonts. You can animate the water.
68,"RT @CASA4Children: Former foster youth is among 10 women nationwide named to @LOrealParisUSA 2019 Women of Worth, beating out thousands nominated. ow.ly/uYoj50wQmue?"
69,"I donâ€™t wanna give up, and well let me get back up. 
@wetnwildbeauty 
@NyxCosmetics 
@elfcosmetics 
@juviasplace 
@MorpheBrushes 
@COVERGIRL 
@LOrealParisUSA 
#morphe #noedits #nophotoshop #rawtiny #skin #loveyourself #acne #selflove #careforyou #dontgiveup pic.twitter.com/5RNL4vcfIv"
70,"Former foster youth is among 10 women nationwide named to @LOrealParisUSA 2019 Women of Worth, beating out thousands nominated. ow.ly/uYoj50wQmue?"
900,I've been using @LOrealParisUSA Revitalift day cream for the past 14 days and my skin is glowing! #AD No need for expensive anti-aging creams anymore! {urchase Lâ€™Oreal Paris Revitalift day cream @Walmart #RevitaliftChallenge #LorealParis #WalmartBeauty #IC goic.io/7-buhr pic.twitter.com/rw2qvXfj2n
72,"@LOrealParisUSA  where can I buy LOreal FÃ©ria Color Moisturizing Treatment?  Sallyâ€™s used to carry it and House if Beauty, Inc in Philadelphia, I used to order it from them .
Now I canâ€™t find it anywhere and itâ€™s the best"
73,@Elemis I Use The Pro Collagen Oil At Night. My nightly routine is the oil @LOrealParisUSA eye cream @JeffreeStar lip scrub @eos lip balm Always Get Asked What I Use People Think Iâ€™m Still In My 20s ðŸ˜‰Then Sleep Like a Baby. But I So Need To Know How To Get On Your PR..Please Please ðŸ™ðŸ¼ðŸ’•
74,"#Global #Lip #Balm #Market Till 2028 | Download Free Sample Report @ bit.ly/31ylaJo
Leading players:  @LOrealParisUSA ,@PG,@Relvon & @Avon pic.twitter.com/PfMbc3qnES"
75,Man this @LOrealParisUSA PURE-CLAY CLEANSER IS THE BOMBðŸ”¥
76,"@LOrealParisUSA Hii may i know if both of these cream are the same?  They look exactly the same, only the words below the red bar, written with â€œreplumping cushion (left pic)â€ and â€œ revolumizing cushion (right pic)â€ pic.twitter.com/hwHWF16lAp"
77,@LOrealParisUSA Your models are saying something but I can't figure out who they are so far plus have u found a girl who looks exactly like another girl but it is her from Victoria's Secret commercials on TV they are smiling at me hey is this the correct Lorealparis page that girl holy cow
78,"Me: babe, caption?

Babe: Heh I donâ€™t know, one of my quotes ? ðŸ˜‚ðŸ˜‚ idk I just love you too much I canâ€™t even find words â¤ï¸ 

Products
Sundipped glow kit
Cream contour kit, light- @ABHcosmetics
Venus 2- @limecrime
rouge lip stain, I create- @LOrealParisUSA
(Full list on IG) pic.twitter.com/keOg122pMj"
79,"@Janelle15704264 @LOrealParisUSA @Influenster Omg i got to try this 
I knw so many struggling with there skin"
80,"On the hunt for a perfect cleanser: check out some cleanser recommendations below by myself and my fellow Dermatology colleagues #skincareroutine #cleansers #acne 

Thank you @upjourneycom 
@cerave @LaRochePosayUSA @LOrealParisUSA 

upjourney.com/best-face-washâ€¦"
251,"RT @JackRog32705019: No one pours more emotion into a song than @CourtneyHadwin
Click the link and watch the expressions on her face change. So impressive.
@MickJagger  @CalvinKlein @LOrealParisUSA @Loreal
@JoeHorstChina @xanndra2
@Paradise12310 @connelly113 @OliviaBalafika

youtu.be/eR9UxcsjUSM pic.twitter.com/on22pEGMeL"
82,JADE from VICTORIOUSðŸ–¤ I mixed the @LOrealParisUSA #colourista spray in blue & purple to get this cobalt shade! Jade is such a fun costume idea for Halloween if your personal style isnâ€™t quite bad gal and you wanna try it outðŸ˜ @LizGillies #victorious #jadewest #halloween pic.twitter.com/hqnP5FUvjD
83,"I just bought a new @LOrealParisUSA face cream and now my face is not only super soft, but smells lovely. ðŸ˜Š"
84,@LOrealParisUSA Glowtion is so bomb!!
245,"@JackRog32705019 @CourtneyHadwin @xtina @RollingStones @CalvinKlein @LOrealParisUSA @xanndra2 @JoeHorstChina @OliviaBalafika @GregBiggs8 @Sam68757060 @Paradise12310 @AurandDarren @jerrywi09164713 @ChrisMa47672678 @amieslackjourno @Scott4293 This really is a keeper!!! For some reason I'm seeing a much bigger version! The one I replied to earlier did not have Courtney's face or other details. I really hope Courtney @CourtneyHadwin responds to this. Courtney, this could be real when the proper time comes!!!ðŸŒ¹ðŸ¤ŸAMAZING!"
86,@Janelle15704264 @LOrealParisUSA @Influenster I love the Hyaluronic acid serum. I even use it under my eyes. It's pricey but it really does moisturize the skin.
87,@Janelle15704264 @LOrealParisUSA @Influenster What skin type is it good for?
253,"No one pours more emotion into a song than @CourtneyHadwin
Click the link and watch the expressions on her face change. So impressive.
@MickJagger  @CalvinKlein @LOrealParisUSA @Loreal
@JoeHorstChina @xanndra2
@Paradise12310 @connelly113 @OliviaBalafika

youtu.be/eR9UxcsjUSM pic.twitter.com/on22pEGMeL"
89,"Today's combo ðŸ’–
@CeletequeDermo for mositurized skin and @LOrealParisUSA  for a fresh satin finish ðŸ’• pic.twitter.com/chrxLysSrm"
90,Your recent video finally made me buy the @LOrealParisUSA pigment and since they had a sale I got a backup of my favorite glow mist. And some free cat ears ðŸ¥° @jambeauty89 pic.twitter.com/I7SXj04Gw2
169,"@JackRog32705019 @CourtneyHadwin @CalvinKlein @LOrealParisUSA @xtina @ChrisMa47672678 @AurandDarren @JoeHorstChina @jerrywi09164713 @JPascarella5 @Sam68757060 @Scott4293 @dmac322 @Paradise12310 @GracelandET @ziaidr @PaulTracey18 Over the top ""CUTE""!!! @JoeHorstChina was right about her eye's!!!ðŸ‘Œ"
92,"RT @LOrealParisUSA: Kiss dark spots goodbye with our NEW 10% Pure Glycolic Acid Serum. It visibly reduces dark spots in 2 weeks without being harsh on your skin. ðŸ˜ Use daily before bed and see the results for yourself! Available at Walgreens.
bit.ly/GlycolicAcidWAâ€¦ pic.twitter.com/dZKpiU8Vg9"
543,RT @Sam68757060: @JackRog32705019 @CourtneyHadwin @aristarecords @syco @LOrealParisUK @LOrealParisUSA @CalvinKlein @aclfestival Absolutely correct. You tube will be flooded given the audience that is expected.  Sheâ€™s to just give it away.
94,@example @LOrealParisUSA Go quietly & something in the water are my faces ðŸ‡¬ðŸ‡§ðŸ‘
95,"RT @LOrealParisUSA: SHAPE, COVER & CONTOUR ðŸ™Œ Infallible Full Wear concealer conceals imperfections while doubling as a contour and highlight product. Pro Tip: to best conceal dark circles, apply in a triangle under each eye and blend! pic.twitter.com/ugUsoGN45e"
96,"@lorealcanada @LOrealUSA @LOrealParisCAN @LOrealParisUSA 
The Ideal Balance Clarifying Toner was one of the best toners on the market, and worked so well to clarify the skin. Then you brought out Hydra Total 5, which is simply not as effective and unfortunately a disappointment."
537,"RT @LOrealUSA: ""We need to have representation at the top with people sitting in positions like mine,"" says @LOrealParisUSA's own Anne Marie Nelson-Bogle. We're so proud of Annie Marie and two other L'OrÃ©al execs for being featured in @Essence's latest digital cover! essence.com/feature/prettyâ€¦"
433,"RT @LOrealUSA: ""We need to have representation at the top with people sitting in positions like mine,"" says @LOrealParisUSA's Anne Marie Nelson-Bogle. We're so proud of Annie Marie and our other two L'OrÃ©al execs for being featured in @Essence's latest digital cover! essence.com/feature/prettyâ€¦"
99,@LOrealParisUSA. Got my FREE samples from influenster and my skin is so bright and even!! Coukdnt be happier pic.twitter.com/HgIwJQQGUv
100,@zadidoll @ThreeDailey @NikkieTutorials @tartecosmetics @UrbanDecay @LancomeUSA @LOrealParisUSA Like Glow Recipe?
101,@Iadiesbird That face belongs on a @LOrealParisUSA commercial
188,"RT @JackRog32705019: Looks like the water around Sweden is quite cold. Watching Someone You Loved is a good way to warm up
@RollingStones @CalvinKlein
@LOrealParisUSA @Scott4293
@connelly113 @OliviaBalafika
@ChrisMa47672678
@AurandDarren @xanndra2
@JoeHorstChina
@mimiandjosy

youtu.be/eR9UxcsjUSM pic.twitter.com/mm6wgcVCVv"
103,@LOrealParisUSA Definitely looking into this! Tryna get rid of these dark spots. Can it be used anywhere besides the face?
104,"RT @LOrealParisUSA: Our new Pure Glycolic Acid Serum is a MUST try if you want to reduce dark spots and wrinkles! Learn more from ""7 SKIN-CARE PRODUCTS OUR EDITORS ARE LOVING IN SEPTEMBER"". bit.ly/SkncDcomGA pic.twitter.com/tBVOcKwZXR"
482,"RT @KrawallBambi: @bennymugzz @ABHcosmetics @norvina1 @LOrealParisUSA @bhcosmetics @hudabeauty @ColourPopCo @OFRACosmetics @BenefitBeauty @elfcosmetics @TooFaced @BECCAcosmetics @patrickstarrr @MannyMua733 Ouh Benny, I love your pretty face â¤ï¸"
106,Iâ€™m a walking advert for staying out of the sun and sunblockers  from @LOrealParisUSA! last week I got hit on by a twenty something gorgeous young man (HUGE ego boost) and today a colleague talked about a coworker retiring because the coworker is â€˜a boomerâ€™.  Iâ€™m a 59 yo boomer!
544,@JackRog32705019 @CourtneyHadwin @aristarecords @syco @LOrealParisUK @LOrealParisUSA @CalvinKlein @aclfestival Absolutely correct. You tube will be flooded given the audience that is expected.  Sheâ€™s to just give it away.
108,"@nikktropolis First I clean my face with @Kiehls  Facial Fuel, pat dry with towel, and use @LOrealParisUSA  pure-clay mask 15 mins til dry and wash off with water. Important to moisturize afterwards with @oarsandalps face moisturizer and eye cream"
109,Our #wcw is none other than the amazing @violadavisâ¤ï¸ She recently became the newest face of @LOrealParisUSA! She continues to make strides as she inspire us all. #whbc #wcw #howardu pic.twitter.com/y4d3MJEgCT
110,"Okay, we *need* that @LOrealParisUSA moisturizer. skincare.com/article/best-mâ€¦"
111,@CKingery_LPD @StuBishop_LPD Dude needs some eye cream. @LOrealParisUSA @LOrealParisUK @Loreal
112,"RT @Lifeisabirdsong: @Camila_Cabello @LOrealParisUSA How exactly is Amber Heard strong? Unless you find inspiring the fact that she cut his ex husband finger, burnt his face, hit him several times and then falsely accused him of the things she did to him ðŸ¤·â€â™€ï¸She's an abuser and a liar. Calling her strong  is an insult to real victims"
113,@LOrealParisUSA Bought a new vat of my favorite #Revitalift moisturizer and it had a huge air pocket in it and much less product! #disappointed
213,"Looks like the water around Sweden is quite cold. Watching Someone You Loved is a good way to warm up
@RollingStones @CalvinKlein
@LOrealParisUSA @Scott4293
@connelly113 @OliviaBalafika
@ChrisMa47672678
@AurandDarren @xanndra2
@JoeHorstChina
@mimiandjosy

youtu.be/eR9UxcsjUSM pic.twitter.com/mm6wgcVCVv"
115,"I LOVE #Loreal #AgePerfect #RosyTone #Moisturizer My skin glows! #YoungerLookingSkin
@LOrealParisUSA"
485,"@bennymugzz @ABHcosmetics @norvina1 @LOrealParisUSA @bhcosmetics @hudabeauty @ColourPopCo @OFRACosmetics @BenefitBeauty @elfcosmetics @TooFaced @BECCAcosmetics @patrickstarrr @MannyMua733 Ouh Benny, I love your pretty face â¤ï¸"
